projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
411,37,Zebbug Apartment Block,  ,,,,Active,,,,
412,66,Mellieha Roadworks Consultancy,  ,,,,Active,,,,
413,245,Naxxar Residence Alterations,  ,,,,Active,,,,
414,200,Smart City O203RT3RT4,  ,,,,Active,,,,
415,316,T14 Tigne Office Block,  ,,,,Active,,,,
416,180,Floriana Carpark,  ,,,,Active,,,,
417,200,Life Science Building Finishes,  ,,,,Active,,,,
418,258,Zurrieq Residence Alterations,  ,,,,Active,,,,
419,259,Ta' Qali Stand,  ,,,,Active,,,,
420,37,Manikata Villas,  ,,,,Active,,,,
421,260,Zurrieq Apartment Alterations,  ,,,,Active,,,,
422,167,St.Julians Apartment Block,  ,,,,Active,,,,
423,261,Zejtun Residence Alterations,  ,,,,Active,,,,
424,262,Balzan Residence Alterations,  ,,,,Active,,,,
425,105,Sliema Residence Alterations,  ,,,,Active,,,,
426,200,Farsons Alterations,  ,,,,Active,,,,
427,263,Qormi Residence Alterations,  ,,,,Active,,,,
428,264,Mgarr Terraced House,  ,,,,Active,,,,
429,72,University MAKS Building Extension,  ,,,,Active,,,,
430,268,Ghajnsielem Terraced House,  ,,,,Active,,,,
431,265,Life Sciences,  ,,,,Active,,,,
432,189,Refurbishment of factory BLB027B,  ,,,,Active,,,,
433,267,Mellieha Sanction,  ,,,,Active,,,,
434,266,San Gwann Sanction,  ,,,,Active,,,,
435,269,Fort St.Angelo Restoration,  ,,,,Active,,,,
436,211,Rabat Seminary Residence Alterations,  ,,,,Active,,,,
437,270,BOV Valletta Facade Restoration,  ,,,,Active,,,,
438,37,Msida Apartment Block,  ,,,,Active,,,,
439,271,M'Skala Sanctioning of Backyard,  ,,,,Active,,,,
440,270,Valletta Handingover,  ,,,,Active,,,,
441,270,Manoel Theathre Refurbishment,  ,,,,Active,,,,
442,226,Tarxien Residence Alterations,  ,,,,Active,,,,
443,226,Sliema Maisonette Change of Use,  ,,,,Active,,,,
444,66,Maghtab Landfill Park,  ,,,,Active,,,,
445,270,Ta' Xbiex Internal Finishes,  ,,,,Active,,,,
446,84,Swieqi Civic Centre Footbridge,  ,,,,Active,,,,
447,72,PPB 2013,  ,,,,Active,,,,
448,29,Lufthansa Hangar Maintenance 2013,  ,,,,Active,,,,
449,231,Sliema Apartment Amendments,  ,,,,Active,,,,
450,272,T12 Gym Amendments,  ,,,,Active,,,,
451,273,Maghtab Waste Plant,  ,,,,Active,,,,
452,246,Gozo link Feasibility Study,  ,,,,Active,,,,
453,274,Mqabba Terraced House,  ,,,,Active,,,,
